Customer ID,Age,Sales ($)
10001,28,69870
10002,32,90187
10003,29,60993
10004,31,59939
10005,39,150107
10006,42,155078
10007,39,159976
10008,37,162110
10009,39,156010
10010,35,130128
10011,40,136801
10012,29,44842
10013,26,47800
10014,26,50790
10015,27,49582
10016,33,52779
10017,39,64854
10018,42,63113
10019,43,64024
10020,40,79833
10021,41,81753
10022,39,58233
10023,41,69989
10024,38,90159
10025,40,61003
10026,43,60033
10027,43,149827
10028,38,154879
10029,39,159910
10030,42,161958
10031,44,155794
10032,43,129974
10033,43,136986
10034,45,45064
10035,45,47827
10036,45,51066
10037,44,49396
10038,44,53148
10039,46,64766
10040,48,62786
10041,44,64122
10042,46,80060
10043,45,82009
10044,44,58139
10045,45,69899
10046,49,89996
10047,47,60874
10048,46,60207
10049,51,149801
10050,51,154927
